Date,Open,High,Low,Close,Volume
2021-11-24,4340.6,4374.87,4168.92,4270.89,137027.9773
2021-11-25,4271.15,4555.0,4246.1,4527.07,124839.8029
2021-11-26,4527.07,4553.65,3916.18,4044.85,228386.7928
2021-11-27,4043.67,4185.74,4031.83,4098.02,86395.5469
2021-11-28,4097.88,4301.55,3965.49,4298.14,108556.1541
2021-11-29,4298.15,4463.0,4281.22,4448.42,109285.602
2021-11-30,4448.41,4756.8,4349.83,4631.81,205269.743
2021-12-01,4632.65,4782.5,4528.0,4585.46,144000.5771
2021-12-02,4585.74,4636.58,4430.57,4515.15,140779.5175
2021-12-03,4515.01,4658.89,4041.61,4218.76,192599.6104
2021-12-04,4218.76,4240.22,3529.33,4120.51,267396.9937
2021-12-05,4120.53,4254.01,4037.32,4200.91,173962.3469
2021-12-06,4201.0,4378.6,3925.0,4352.04,241559.4753
2021-12-07,4352.52,4429.3,4260.0,4309.74,116745.0732
2021-12-08,4309.72,4455.0,4227.64,4440.34,141105.7669
2021-12-09,4440.36,4493.0,4078.0,4107.31,167054.049
2021-12-10,4107.31,4233.63,3888.0,3900.31,180738.2357
2021-12-11,3900.31,4098.0,3834.67,4091.73,143921.5791
2021-12-12,4091.72,4177.59,3988.62,4132.0,90530.2751
2021-12-13,4131.99,4144.53,3672.14,3783.2,191739.2476
2021-12-14,3783.2,3883.03,3686.67,3860.71,168031.5463
2021-12-15,3860.71,4095.44,3645.18,4020.21,192243.5099
2021-12-16,4020.61,4116.6,3952.37,3959.27,139274.3261
2021-12-17,3959.28,3994.4,3700.0,3876.64,172268.0402
2021-12-18,3876.46,3998.35,3768.0,3960.5,105786.6126
2021-12-19,3960.89,4034.0,3884.0,3925.35,103683.2507
2021-12-20,3925.36,3984.24,3755.0,3945.23,148680.288
2021-12-21,3945.23,4063.08,3913.18,4015.99,101396.8924
2021-12-22,4015.97,4075.98,3933.91,3981.04,79374.0216
2021-12-23,3981.1,4153.18,3888.38,4112.3,114671.2111
2021-12-24,4112.45,4136.0,4020.3,4048.71,66936.3173
2021-12-25,4048.46,4140.0,4022.23,4096.22,54208.2178
2021-12-26,4096.48,4106.9,4006.28,4065.3,51604.5825
2021-12-27,4065.59,4130.0,4033.35,4039.65,61990.7194
2021-12-28,4039.65,4039.65,3760.22,3793.79,129813.6583
2021-12-29,3793.55,3828.02,3605.0,3630.81,112513.0057
2021-12-30,3630.81,3768.36,3580.0,3709.85,90740.3405
2021-12-31,3709.55,3815.91,3622.0,3676.45,96646.2366
2022-01-01,3676.81,3777.0,3673.53,3766.05,49822.8793
2022-01-02,3766.06,3859.0,3717.98,3829.44,51212.6102
2022-01-03,3829.32,3852.81,3682.0,3765.57,66063.3402
2022-01-04,3766.08,3893.61,3714.5,3784.39,81576.2523
2022-01-05,3784.86,3847.39,3416.01,3539.63,128470.7361
2022-01-06,3539.64,3550.49,3298.72,3406.55,150710.4806
2022-01-07,3406.69,3416.19,3062.1,3197.44,232458.9763
2022-01-08,3197.68,3247.4,3000.0,3080.63,132060.7249
2022-01-09,3080.82,3211.29,3058.43,3151.69,95097.5392
2022-01-10,3152.37,3183.6,2928.63,3082.42,213707.1843
2022-01-11,3082.7,3263.99,3052.37,3240.72,137982.5189
2022-01-12,3240.58,3412.11,3206.76,3372.96,132363.8194
2022-01-13,3372.58,3411.5,3233.75,3241.86,112975.3519
2022-01-14,3241.99,3345.01,3188.08,3308.87,105249.5306
2022-01-15,3308.77,3374.31,3261.8,3327.75,56833.7762
2022-01-16,3327.75,3394.5,3275.55,3348.0,62474.2482
2022-01-17,3348.2,3358.73,3142.56,3210.26,93279.4235
2022-01-18,3210.44,3244.91,3083.17,3160.87,113107.7036
2022-01-19,3160.87,3176.09,3047.23,3085.12,111776.7776
2022-01-20,3085.11,3272.7,2988.41,3002.03,133065.3808
2022-01-21,3002.03,3033.49,2460.0,2568.12,332624.66258
2022-01-22,2568.39,2626.42,2300.0,2411.5,314037.50047
2022-01-23,2412.39,2551.9,2370.96,2539.63,186064.5504
2022-01-24,2539.6,2539.97,2158.72,2440.37,368420.19569
2022-01-25,2440.36,2508.0,2351.41,2459.99,197381.0243
2022-01-26,2459.99,2724.51,2402.91,2464.61,284625.1674
2022-01-27,2464.62,2521.49,2316.99,2424.72,216416.0034
2022-01-28,2424.78,2558.89,2358.84,2545.93,193586.1104
2022-01-29,2545.87,2637.32,2521.0,2602.17,123555.2148
2022-01-30,2602.17,2641.86,2543.52,2602.54,104173.9754
2022-01-31,2602.54,2707.59,2477.77,2688.27,163489.0531
2022-02-01,2687.99,2815.37,2675.33,2788.93,148270.1193
2022-02-02,2788.93,2812.0,2615.0,2681.48,157540.0145
2022-02-03,2681.85,2726.27,2577.63,2697.17,149968.3067
2022-02-04,2696.57,2997.0,2672.32,2996.3,203275.1554
2022-02-05,2996.05,3062.07,2960.76,3013.62,124809.1847
2022-02-06,3013.92,3076.92,2953.82,3056.94,79862.6624
2022-02-07,3056.95,3188.77,2994.79,3141.9,144663.4428
2022-02-08,3141.9,3234.77,3028.08,3119.57,157817.3488
2022-02-09,3119.59,3272.34,3056.1,3246.47,118966.2851
2022-02-10,3246.46,3286.0,3060.14,3075.09,177910.1913
2022-02-11,3075.09,3141.01,2880.23,2929.22,159433.947
2022-02-12,2929.21,2986.85,2860.0,2920.52,110694.2584
2022-02-13,2920.21,2956.15,2837.61,2872.5,82214.0698
2022-02-14,2872.6,2965.79,2832.15,2930.89,102055.9972
2022-02-15,2930.9,3198.0,2913.5,3185.52,118907.3639
2022-02-16,3185.62,3188.9,3045.0,3124.08,116144.1098
2022-02-17,3124.1,3162.14,2854.69,2893.44,166740.7363
2022-02-18,2893.48,2945.67,2753.44,2780.89,140677.3178
2022-02-19,2780.77,2832.08,2696.12,2765.41,86332.5351
2022-02-20,2765.14,2765.72,2577.04,2623.08,115041.3567
2022-02-21,2623.08,2760.86,2559.51,2570.17,201371.8689
